clock,deviation
1602258853,-11.999486
1602258854,-11.999503
1602258855,-11.99951
1602258856,-11.999658
1602258857,-12.020465
1602258858,-12.999422
1602258859,-12.998109
1602258860,-12.999408
1602258861,-12.999699
1602258862,-12.99974
1602258863,-12.999399
1602258864,-12.999429
1602258865,-12.999641
1602258866,-12.999369
1602258867,-12.999406
1602258868,-12.999435
1602258869,-12.999394
1602258870,-12.999546
1602258871,-12.999275
1602258872,-12.999233
1602258873,-12.99938
1602258874,-12.99945
1602258875,-12.999526
1602258876,-12.999434
1602258877,-12.999337
1602258878,-12.999838
1602258879,-12.999442
1602258880,-12.999678
1602258881,-12.99969
1602258882,-12.999562
1602258883,-13.950359
