# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 03:54:00 CDT,+469536
2016-07-01 03:55:00 CDT,+429671
2016-07-01 03:56:00 CDT,+460022
2016-07-01 03:57:00 CDT,+438029
2016-07-01 03:58:00 CDT,+425726
2016-07-01 03:59:00 CDT,+410243
2016-07-01 04:00:00 CDT,+486688
2016-07-01 04:01:00 CDT,+530528
2016-07-01 04:02:00 CDT,+509871
2016-07-01 04:03:00 CDT,+499760
2016-07-01 04:04:00 CDT,+504046
2016-07-01 04:05:00 CDT,+439864
2016-07-01 04:06:00 CDT,+453065
2016-07-01 04:07:00 CDT,+477521
2016-07-01 04:08:00 CDT,+492838
2016-07-01 04:09:00 CDT,+523523
2016-07-01 04:10:00 CDT,+530160
2016-07-01 04:11:00 CDT,+537098
2016-07-01 04:12:00 CDT,+539920
2016-07-01 04:13:00 CDT,+542115
2016-07-01 04:14:00 CDT,+514479
2016-07-01 04:15:00 CDT,+572263
2016-07-01 04:16:00 CDT,+562823
2016-07-01 04:17:00 CDT,+552624
2016-07-01 04:18:00 CDT,+533847
2016-07-01 04:19:00 CDT,+557381
2016-07-01 04:20:00 CDT,+530349
2016-07-01 04:21:00 CDT,+526930
2016-07-01 04:22:00 CDT,+533915
2016-07-01 04:23:00 CDT,+527004
2016-07-01 04:24:00 CDT,+496228
2016-07-01 04:25:00 CDT,+478990
2016-07-01 04:26:00 CDT,+479188
2016-07-01 04:27:00 CDT,+463971
2016-07-01 04:28:00 CDT,+457512
2016-07-01 04:29:00 CDT,+486160
2016-07-01 04:30:00 CDT,+474047
2016-07-01 04:31:00 CDT,+462859
2016-07-01 04:32:00 CDT,+450782
2016-07-01 04:33:00 CDT,+470807
2016-07-01 04:34:00 CDT,+444497
2016-07-01 04:35:00 CDT,+516580
2016-07-01 04:36:00 CDT,+535262
2016-07-01 04:37:00 CDT,+574627
2016-07-01 04:38:00 CDT,+565426
2016-07-01 04:39:00 CDT,+568751
2016-07-01 04:40:00 CDT,+505384
2016-07-01 04:41:00 CDT,+497777
2016-07-01 04:42:00 CDT,+505755
2016-07-01 04:43:00 CDT,+471368
2016-07-01 04:44:00 CDT,+507319
2016-07-01 04:45:00 CDT,+549167
2016-07-01 04:46:00 CDT,+598186
2016-07-01 04:47:00 CDT,+543029
2016-07-01 04:48:00 CDT,+564841
2016-07-01 04:49:00 CDT,+559026
2016-07-01 04:50:00 CDT,+581801
2016-07-01 04:51:00 CDT,+569264
2016-07-01 04:52:00 CDT,+567721
2016-07-01 04:53:00 CDT,+573076
2016-07-01 04:54:00 CDT,+567761
2016-07-01 04:55:00 CDT,+523282
2016-07-01 04:56:00 CDT,+578707
2016-07-01 04:57:00 CDT,+674151
2016-07-01 04:58:00 CDT,+644011
2016-07-01 04:59:00 CDT,+644433
2016-07-01 05:00:00 CDT,+699104
2016-07-01 05:01:00 CDT,+659932
2016-07-01 05:02:00 CDT,+692301
2016-07-01 05:03:00 CDT,+637076
2016-07-01 05:04:00 CDT,+663408
2016-07-01 05:05:00 CDT,+635637
2016-07-01 05:06:00 CDT,+646721
2016-07-01 05:07:00 CDT,+652630
2016-07-01 05:08:00 CDT,+607774
2016-07-01 05:09:00 CDT,+635005
2016-07-01 05:10:00 CDT,+650009
2016-07-01 05:11:00 CDT,+635606
2016-07-01 05:12:00 CDT,+607376
2016-07-01 05:13:00 CDT,+653311
2016-07-01 05:14:00 CDT,+675284
2016-07-01 05:15:00 CDT,+583551
2016-07-01 05:16:00 CDT,+549818
2016-07-01 05:17:00 CDT,+532006
2016-07-01 05:18:00 CDT,+541953
2016-07-01 05:19:00 CDT,+566091
2016-07-01 05:20:00 CDT,+616864
2016-07-01 05:21:00 CDT,+599077
2016-07-01 05:22:00 CDT,+600689
2016-07-01 05:23:00 CDT,+600466
2016-07-01 05:24:00 CDT,+580333
2016-07-01 05:25:00 CDT,+585095
2016-07-01 05:26:00 CDT,+635170
2016-07-01 05:27:00 CDT,+600534
